lambda,ap,enf_residual
0.002,0.001,0.000995
0.002,0.002,0.0019841
0.002,0.003,0.0029672
0.002,0.004,0.0039444
0.002,0.005,0.0049158
0.002,0.006,0.0058813
0.002,0.007,0.006841
0.002,0.008,0.0077949
0.002,0.009,0.0087431
0.002,0.01,0.0096855
0.002,0.011,0.0106223
0.002,0.012,0.0115533
0.002,0.013,0.0124788
0.002,0.014,0.0133986
0.002,0.015,0.0143128
0.002,0.016,0.0152215
0.002,0.017,0.0161247
0.002,0.018,0.0170223
0.002,0.019,0.0179145
0.002,0.02,0.0188012
0.002,0.021,0.0196825
0.002,0.022,0.0205584
0.002,0.023,0.021429
0.002,0.024,0.0222942
0.002,0.025,0.0231541
0.002,0.026,0.0240087
0.002,0.027,0.024858
0.002,0.028,0.0257021
0.002,0.029,0.026541
0.002,0.03,0.0273747
0.002,0.031,0.0282032
0.002,0.032,0.0290266
0.002,0.033,0.0298449
0.002,0.034,0.0306581
0.002,0.035,0.0314663
0.002,0.036,0.0322694
0.002,0.037,0.0330675
0.002,0.038,0.0338606
0.002,0.039,0.0346487
0.002,0.04,0.035432
0.002,0.041,0.0362103
0.002,0.042,0.0369837
0.002,0.043,0.0377522
0.002,0.044,0.0385159
0.002,0.045,0.0392748
0.002,0.046,0.0400289
0.002,0.047,0.0407782
0.002,0.048,0.0415228
0.002,0.049,0.0422626
0.002,0.05,0.0429977
0.002,0.051,0.0437282
0.002,0.052,0.044454
0.002,0.053,0.0451752
0.002,0.054,0.0458917
0.002,0.055,0.0466037
0.002,0.056,0.0473111
0.002,0.057,0.0480139
0.002,0.058,0.0487122
0.002,0.059,0.0494061
0.002,0.06,0.0500954
0.002,0.061,0.0507803
0.002,0.062,0.0514607
0.002,0.063,0.0521368
0.002,0.064,0.0528084
0.002,0.065,0.0534757
0.002,0.066,0.0541386
0.002,0.067,0.0547972
0.002,0.068,0.0554514
0.002,0.069,0.0561014
0.002,0.07,0.0567471
0.002,0.071,0.0573886
0.002,0.072,0.0580258
0.002,0.073,0.0586589
0.002,0.074,0.0592877
0.002,0.075,0.0599124
0.002,0.076,0.0605329
0.002,0.077,0.0611493
0.002,0.078,0.0617616
0.002,0.079,0.0623698
0.002,0.08,0.0629739
0.002,0.081,0.063574
0.002,0.082,0.0641701
0.002,0.083,0.0647621
0.002,0.084,0.0653502
0.002,0.085,0.0659343
0.002,0.086,0.0665144
0.002,0.087,0.0670906
0.002,0.088,0.0676628
0.002,0.089,0.0682312
0.002,0.09,0.0687957
0.002,0.091,0.0693564
0.002,0.092,0.0699132
0.002,0.093,0.0704661
0.002,0.094,0.0710153
0.002,0.095,0.0715607
0.002,0.096,0.0721023
0.002,0.097,0.0726402
0.002,0.098,0.0731743
0.002,0.099,0.0737047
0.002,0.1,0.0742314
0.002,0.101,0.0747544
0.002,0.102,0.0752738
0.002,0.103,0.0757895
0.002,0.104,0.0763016
0.002,0.105,0.0768101
0.002,0.106,0.077315
0.002,0.107,0.0778163
0.002,0.108,0.078314
0.002,0.109,0.0788082
0.002,0.11,0.0792989
0.002,0.111,0.0797861
0.002,0.112,0.0802698
0.002,0.113,0.08075
0.002,0.114,0.0812267
0.002,0.115,0.0817
0.002,0.116,0.0821698
0.002,0.117,0.0826363
0.002,0.118,0.0830993
0.002,0.119,0.083559
0.002,0.12,0.0840153
0.002,0.121,0.0844683
0.002,0.122,0.0849179
0.002,0.123,0.0853642
0.002,0.124,0.0858072
0.002,0.125,0.0862469
0.002,0.126,0.0866834
0.002,0.127,0.0871166
0.002,0.128,0.0875465
0.002,0.129,0.0879732
0.002,0.13,0.0883967
0.002,0.131,0.0888171
0.002,0.132,0.0892342
0.002,0.133,0.0896482
0.002,0.134,0.090059
0.002,0.135,0.0904667
0.002,0.136,0.0908713
0.002,0.137,0.0912727
0.002,0.138,0.0916711
0.002,0.139,0.0920664
0.002,0.14,0.0924586
0.002,0.141,0.0928478
0.002,0.142,0.0932339
0.002,0.143,0.093617
0.002,0.144,0.0939972
0.002,0.145,0.0943743
0.002,0.146,0.0947484
0.002,0.147,0.0951196
0.002,0.148,0.0954878
0.002,0.149,0.0958531
0.002,0.15,0.0962155
0.002,0.151,0.096575
0.002,0.152,0.0969315
0.002,0.153,0.0972852
0.002,0.154,0.097636
0.002,0.155,0.097984
0.002,0.156,0.0983291
0.002,0.157,0.0986713
0.002,0.158,0.0990108
0.002,0.159,0.0993475
0.002,0.16,0.0996813
0.002,0.161,0.1000124
0.002,0.162,0.1003407
0.002,0.163,0.1006663
0.002,0.164,0.1009891
0.002,0.165,0.1013093
0.002,0.166,0.1016266
0.002,0.167,0.1019413
0.002,0.168,0.1022533
0.002,0.169,0.1025627
0.002,0.17,0.1028693
0.002,0.171,0.1031733
0.002,0.172,0.1034747
0.002,0.173,0.1037734
0.002,0.174,0.1040695
0.002,0.175,0.1043631
0.002,0.176,0.104654
0.002,0.177,0.1049423
0.002,0.178,0.1052281
0.002,0.179,0.1055113
0.002,0.18,0.105792
0.002,0.181,0.1060702
0.002,0.182,0.1063458
0.002,0.183,0.1066189
0.002,0.184,0.1068895
0.002,0.185,0.1071576
0.002,0.186,0.1074233
0.002,0.187,0.1076865
0.002,0.188,0.1079472
0.002,0.189,0.1082055
0.002,0.19,0.1084614
0.002,0.191,0.1087149
0.002,0.192,0.1089659
0.002,0.193,0.1092145
0.002,0.194,0.1094608
0.002,0.195,0.1097047
0.002,0.196,0.1099462
0.002,0.197,0.1101854
0.002,0.198,0.1104222
0.002,0.199,0.1106567
0.002,0.2,0.1108889
0.002,0.201,0.1111188
0.002,0.202,0.1113463
0.002,0.203,0.1115716
0.002,0.204,0.1117946
0.002,0.205,0.1120153
0.002,0.206,0.1122338
0.002,0.207,0.11245
0.002,0.208,0.112664
0.002,0.209,0.1128758
0.002,0.21,0.1130853
0.002,0.211,0.1132926
0.002,0.212,0.1134978
0.002,0.213,0.1137007
0.002,0.214,0.1139015
0.002,0.215,0.1141001
0.002,0.216,0.1142966
0.002,0.217,0.1144909
0.002,0.218,0.114683
0.002,0.219,0.1148731
0.002,0.22,0.115061
0.002,0.221,0.1152468
0.002,0.222,0.1154305
0.002,0.223,0.1156122
0.002,0.224,0.1157917
0.002,0.225,0.1159692
0.002,0.226,0.1161446
0.002,0.227,0.116318
0.002,0.228,0.1164893
0.002,0.229,0.1166586
0.002,0.23,0.1168258
0.002,0.231,0.1169911
0.002,0.232,0.1171543
0.002,0.233,0.1173156
0.002,0.234,0.1174748
